unit,nationalsecurity,healthcare,education,jobs,crime,immigration,drugaddiction,socialsecurity,terrorism,environment,ranking,treat,issue,quotecondition,issuecondition,pid,ideo,gender,age,race
63,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,6,Jobs,No quote,3rd issue,Not sure,Moderate,Female,25-34,White/Caucasian
64,NA,NA,NA,NA,3,NA,1,NA,NA,NA,----3-1---,3,Drug addiction,No quote,Top issue,Not sure,Moderate,Female,35-44,Asian
65,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,7,National security,They lose,3rd issue,Strong Republican,Very Conservative,Male,45-54,Other
66,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,6,Health care,No quote,3rd issue,Independent,Moderate,Female,65 or over,White/Caucasian
67,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1-----3---,8,Drug addiction,We win,3rd issue,Strong Republican,Very Conservative,Female,55-64,White/Caucasian
68,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,5,Jobs,We win,Top issue,Lean Republican,Conservative,Male,45-54,Hispanic
69,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,7,Education,They lose,3rd issue,Strong Democrat,Very Liberal,Female,25-34,White/Caucasian
70,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,7,Health care,They lose,3rd issue,Strong Democrat,Liberal,Male,35-44,African American
71,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,3,Immigration,No quote,Top issue,Not sure,Not Sure,Female,18-24,Hispanic
72,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,5,Social security,We win,Top issue,Strong Democrat,Conservative,Female,35-44,White/Caucasian
73,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,2,Immigration,We win,No issue,Weak Republican,Conservative,Female,65 or over,White/Caucasian
74,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,6,Jobs,No quote,3rd issue,Strong Republican,Moderate,Female,35-44,White/Caucasian
75,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,2,Jobs,We win,No issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
76,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,8,Jobs,We win,3rd issue,Independent,Moderate,Female,25-34,White/Caucasian
77,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,0,Jobs,No quote,No issue,Lean Democrat,Moderate,Female,35-44,White/Caucasian
78,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,3,Health care,No quote,Top issue,Weak Democrat,Moderate,Male,45-54,White/Caucasian
79,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,1,Social security,They lose,No issue,Strong Democrat,Very Liberal,Female,35-44,White/Caucasian
80,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Jobs,We win,No issue,Independent,Moderate,Female,45-54,Native American
81,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,3,National security,No quote,Top issue,Lean Republican,Conservative,Male,45-54,African American
82,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,8,Crime,We win,3rd issue,Independent,Moderate,Male,25-34,Asian
83,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,2,Social security,We win,No issue,Strong Republican,Very Conservative,Male,35-44,African American
84,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Weak Democrat,Liberal,Female,18-24,White/Caucasian
85,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,1,Social security,They lose,No issue,Weak Democrat,Liberal,Male,18-24,Asian
86,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,1,Jobs,They lose,No issue,Weak Democrat,Moderate,Female,25-34,African American
87,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,3,Immigration,No quote,Top issue,Lean Democrat,Liberal,Male,18-24,Hispanic
88,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,4,Health care,They lose,Top issue,Not sure,Moderate,Female,55-64,White/Caucasian
89,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,7,Education,They lose,3rd issue,Lean Democrat,Moderate,Female,35-44,Asian
90,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,6,Environment,No quote,3rd issue,Lean Democrat,Moderate,Male,35-44,White/Caucasian
91,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,7,Crime,They lose,3rd issue,Strong Democrat,Very Liberal,Female,45-54,White/Caucasian
92,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,1,Health care,They lose,No issue,Independent,Moderate,Female,45-54,White/Caucasian
93,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1--------,1,Health care,They lose,No issue,Strong Democrat,Very Liberal,Female,18-24,White/Caucasian
94,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3-------1-,2,National security,We win,No issue,Not sure,Not Sure,Male,25-34,White/Caucasian
95,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,8,Social security,We win,3rd issue,Strong Democrat,Very Conservative,Female,35-44,White/Caucasian
96,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,7,Social security,They lose,3rd issue,Independent,Moderate,Female,35-44,White/Caucasian
97,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,3,Jobs,No quote,Top issue,Lean Democrat,Moderate,Male,25-34,African American
98,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,7,Education,They lose,3rd issue,Lean Democrat,Liberal,Female,18-24,African American
99,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,0,Environment,No quote,No issue,Lean Democrat,Moderate,Male,18-24,White/Caucasian
100,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,3,Health care,No quote,Top issue,Not sure,Not Sure,Female,55-64,White/Caucasian
101,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,8,Social security,We win,3rd issue,Strong Republican,Liberal,Male,55-64,White/Caucasian
102,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1-----3---,0,National security,No quote,No issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
103,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,4,Health care,They lose,Top issue,Independent,Moderate,Female,35-44,White/Caucasian
104,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,7,Terrorism,They lose,3rd issue,Weak Republican,Conservative,Female,25-34,White/Caucasian
105,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,0,National security,No quote,No issue,Strong Democrat,Very Conservative,Male,35-44,White/Caucasian
106,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,0,Jobs,No quote,No issue,Strong Democrat,Moderate,Female,55-64,White/Caucasian
107,NA,NA,1,NA,3,NA,NA,NA,NA,NA,--1-3-----,3,Education,No quote,Top issue,Independent,Moderate,Male,35-44,White/Caucasian
108,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,7,Jobs,They lose,3rd issue,Independent,Moderate,Female,35-44,African American
109,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,7,Environment,They lose,3rd issue,Strong Democrat,Very Liberal,Male,25-34,Hispanic
110,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,0,National security,No quote,No issue,Independent,Liberal,Male,25-34,African American
111,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,8,Environment,We win,3rd issue,Lean Democrat,Liberal,Male,45-54,White/Caucasian
112,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,5,Jobs,We win,Top issue,Strong Democrat,Very Conservative,Female,25-34,African American
113,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,7,Terrorism,They lose,3rd issue,Independent,Not Sure,Female,55-64,White/Caucasian
114,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Jobs,We win,No issue,Strong Democrat,Very Liberal,Male,65 or over,African American
115,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,4,Jobs,They lose,Top issue,Weak Republican,Conservative,Male,18-24,White/Caucasian
116,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,2,Immigration,We win,No issue,Strong Republican,Very Conservative,Female,55-64,White/Caucasian
117,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,0,Social security,No quote,No issue,Strong Democrat,Moderate,Male,35-44,White/Caucasian
118,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,8,Education,We win,3rd issue,Independent,Moderate,Female,35-44,White/Caucasian
119,NA,NA,NA,NA,NA,1,3,NA,NA,NA,-----13---,2,Drug addiction,We win,No issue,Strong Republican,Conservative,Female,45-54,White/Caucasian
120,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,7,Health care,They lose,3rd issue,Weak Democrat,Moderate,Female,45-54,White/Caucasian
121,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,5,National security,We win,Top issue,Independent,Conservative,Female,25-34,White/Caucasian
122,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,3,Jobs,No quote,Top issue,Weak Democrat,Conservative,Male,45-54,Pacific Islander
123,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,0,Crime,No quote,No issue,Lean Democrat,Moderate,Female,25-34,White/Caucasian
124,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,1,Jobs,They lose,No issue,Strong Democrat,Liberal,Female,35-44,Other
125,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,8,Jobs,We win,3rd issue,Strong Democrat,Liberal,Female,18-24,White/Caucasian
126,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,6,National security,No quote,3rd issue,Strong Democrat,Moderate,Male,25-34,African American
127,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,6,Social security,No quote,3rd issue,Strong Democrat,Moderate,Male,45-54,Hispanic
128,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,5,Environment,We win,Top issue,Independent,Moderate,Female,18-24,White/Caucasian
129,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,3,Jobs,No quote,Top issue,Strong Democrat,Moderate,Female,25-34,African American
130,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,7,Environment,They lose,3rd issue,Strong Democrat,Very Liberal,Female,25-34,White/Caucasian
131,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Jobs,We win,No issue,Strong Democrat,Very Conservative,Female,35-44,White/Caucasian
132,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,3,Crime,No quote,Top issue,Weak Democrat,Moderate,Female,18-24,African American
133,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Lean Democrat,Liberal,Male,45-54,White/Caucasian
134,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,----1-----,5,Crime,We win,Top issue,Strong Democrat,Conservative,Male,18-24,African American
135,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3-----1---,5,Drug addiction,We win,Top issue,Independent,Moderate,Female,35-44,White/Caucasian
136,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,5,Health care,We win,Top issue,Lean Democrat,Moderate,Female,25-34,Other
137,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,4,Jobs,They lose,Top issue,Independent,Very Conservative,Female,35-44,White/Caucasian
138,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Strong Democrat,Moderate,Female,65 or over,White/Caucasian
139,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,1,Social security,They lose,No issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
140,NA,NA,3,NA,NA,NA,NA,NA,1,NA,--3-----1-,8,Education,We win,3rd issue,Lean Republican,Moderate,Male,35-44,White/Caucasian
141,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,8,Social security,We win,3rd issue,Weak Republican,Moderate,Female,25-34,White/Caucasian
142,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,6,Jobs,No quote,3rd issue,Weak Republican,Conservative,Male,45-54,White/Caucasian
143,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,6,Social security,No quote,3rd issue,Independent,Moderate,Female,65 or over,White/Caucasian
144,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,0,Education,No quote,No issue,Strong Democrat,Very Conservative,Male,18-24,African American
145,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,2,Jobs,We win,No issue,Independent,Moderate,Male,45-54,African American
146,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,7,Jobs,They lose,3rd issue,Strong Democrat,Very Conservative,Female,35-44,African American
147,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,2,Terrorism,We win,No issue,Independent,Moderate,Male,45-54,White/Caucasian
148,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,1,Environment,They lose,No issue,Lean Democrat,Liberal,Male,25-34,Asian
149,NA,3,NA,NA,NA,NA,NA,NA,1,NA,-3------1-,0,Health care,No quote,No issue,Independent,Moderate,Female,55-64,White/Caucasian
150,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Lean Democrat,Very Liberal,Female,45-54,White/Caucasian
151,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Jobs,No quote,No issue,Not sure,Not Sure,Female,18-24,White/Caucasian
152,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,8,Social security,We win,3rd issue,Strong Republican,Very Conservative,Male,45-54,Asian
153,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,8,Education,We win,3rd issue,Weak Republican,Moderate,Female,35-44,White/Caucasian
154,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,8,Jobs,We win,3rd issue,Not sure,Moderate,Female,25-34,Hispanic
155,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,4,Health care,They lose,Top issue,Independent,Moderate,Male,45-54,Other
156,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,0,National security,No quote,No issue,Strong Republican,Conservative,Female,25-34,Native American
157,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,1,Health care,They lose,No issue,Lean Democrat,Moderate,Female,35-44,African American
158,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,4,Jobs,They lose,Top issue,Strong Democrat,Very Liberal,Female,25-34,Hispanic
159,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,6,Health care,No quote,3rd issue,Independent,Moderate,Female,25-34,White/Caucasian
160,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,1,Terrorism,They lose,No issue,Lean Republican,Moderate,Male,65 or over,White/Caucasian
161,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,6,Education,No quote,3rd issue,Independent,Conservative,Female,35-44,White/Caucasian
162,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,3,Health care,No quote,Top issue,Lean Democrat,Liberal,Female,55-64,White/Caucasian
163,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,7,Education,They lose,3rd issue,Weak Democrat,Liberal,Male,25-34,African American
164,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3-----1---,8,National security,We win,3rd issue,Weak Republican,Conservative,Male,18-24,White/Caucasian
165,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,0,Terrorism,No quote,No issue,Strong Republican,Very Conservative,Female,25-34,White/Caucasian
166,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,8,Drug addiction,We win,3rd issue,Weak Democrat,Moderate,Female,35-44,White/Caucasian
167,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,8,Social security,We win,3rd issue,Independent,Moderate,Female,35-44,White/Caucasian
168,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,7,Crime,They lose,3rd issue,Not sure,Liberal,Female,25-34,Asian
169,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,5,Jobs,We win,Top issue,Weak Republican,Conservative,Male,35-44,White/Caucasian
170,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,----1-----,4,Crime,They lose,Top issue,Not sure,Very Conservative,Female,45-54,White/Caucasian
171,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,2,Social security,We win,No issue,Strong Republican,Very Conservative,Male,25-34,African American
172,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,4,Health care,They lose,Top issue,Lean Democrat,Moderate,Male,35-44,African American
173,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,8,National security,We win,3rd issue,Lean Democrat,Moderate,Female,55-64,White/Caucasian
174,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,8,Social security,We win,3rd issue,Strong Democrat,Very Liberal,Female,18-24,White/Caucasian
175,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,1,National security,They lose,No issue,Lean Republican,Conservative,Male,25-34,White/Caucasian
176,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,6,Drug addiction,No quote,3rd issue,Independent,Liberal,Female,18-24,White/Caucasian
177,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1--------3,3,National security,No quote,Top issue,Strong Democrat,Moderate,Female,55-64,White/Caucasian
178,NA,NA,NA,NA,NA,NA,3,NA,NA,1,------3--1,4,Environment,They lose,Top issue,Strong Democrat,Very Liberal,Female,55-64,White/Caucasian
179,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,4,Jobs,They lose,Top issue,Weak Democrat,Liberal,Male,18-24,White/Caucasian
180,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,6,Jobs,No quote,3rd issue,Strong Democrat,Liberal,Male,25-34,White/Caucasian
181,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,5,Jobs,We win,Top issue,Independent,Moderate,Female,25-34,White/Caucasian
