unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
186,2,6,7,5,3,1,4,2675314,1,1,1,43,3,6,1
187,3,2,6,4,5,1,7,3264517,1,1,1,75,4,6,1
188,NA,NA,2,1,NA,NA,NA,--21---,0,1,0,44,3,4,1
189,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,66,9,4,1
190,2,7,1,4,5,6,3,2714563,0,2,0,32,3,4,1
191,1,5,7,6,2,3,4,1576234,1,2,1,50,4,6,1
192,2,3,7,6,4,1,5,2376415,0,1,1,61,3,6,1
193,2,5,4,3,6,1,7,2543617,1,2,1,37,6,5,1
194,5,6,2,1,4,7,3,5621473,1,2,0,26,3,4,1
195,2,4,7,3,5,1,6,2473516,1,2,0,50,8,6,1
196,1,4,7,2,6,5,3,1472653,0,2,0,60,4,5,1
197,2,6,7,3,4,1,5,2673415,1,1,1,72,3,6,1
198,NA,NA,NA,NA,NA,NA,NA,-------,0,2,0,25,6,5,1
199,7,1,2,3,5,4,6,7123546,1,1,1,43,6,6,1
200,4,6,3,1,7,5,2,4631752,1,1,1,39,3,4,1
201,3,4,1,2,6,7,5,3412675,0,2,0,44,3,5,1
202,6,4,1,5,7,2,3,6415723,1,1,0,42,3,4,1
203,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,51,4,5,1
204,NA,NA,NA,NA,NA,NA,NA,-------,1,1,0,26,3,6,1
205,3,5,1,4,6,2,7,3514627,0,1,0,30,4,2,1
206,6,2,7,3,5,1,4,6273514,0,2,0,42,3,4,1
207,2,4,7,5,3,1,6,2475316,1,2,0,74,4,7,1
