unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
116,3,2,5,1,6,4,7,3251647,1,1,0,78,3,5,2
117,1,7,2,3,5,6,4,1723564,1,1,1,51,3,4,2
118,7,3,1,2,6,4,5,7312645,1,1,0,42,3,4,2
119,2,5,6,7,3,1,4,2567314,1,1,1,70,3,5,2
120,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,23,3,NA,2
121,4,2,3,5,7,1,6,4235716,1,1,1,85,3,4,1
122,2,5,3,7,4,1,6,2537416,0,2,0,58,3,5,1
123,NA,NA,1,NA,2,3,NA,--1-23-,0,2,1,59,6,4,1
124,2,3,7,6,4,1,5,2376415,1,2,0,41,7,7,1
125,1,5,7,6,3,2,4,1576324,1,1,0,42,3,4,1
126,5,2,4,3,7,1,6,5243716,0,1,0,78,2,7,1
127,5,1,7,6,3,4,2,5176342,0,1,0,91,6,6,1
128,2,5,7,3,6,1,4,2573614,0,1,1,64,2,2,1
129,2,3,6,7,5,1,4,2367514,1,1,1,70,6,6,1
130,6,1,2,3,5,4,7,6123547,0,2,1,42,8,6,1
131,2,5,7,6,3,1,4,2576314,0,1,0,40,6,7,1
132,6,1,7,5,4,2,3,6175423,0,1,0,49,4,6,1
133,6,3,1,2,5,4,7,6312547,0,1,0,67,6,6,1
134,4,3,5,1,6,2,7,4351627,0,1,0,66,3,5,1
135,2,1,5,3,7,4,6,2153746,0,2,0,58,4,4,1
136,2,4,7,6,3,1,5,2476315,0,1,0,58,5,6,1
137,7,5,1,4,6,2,3,7514623,0,1,1,40,5,4,1
138,2,3,NA,NA,NA,1,NA,23---1-,0,2,1,63,3,6,1
139,1,5,7,6,3,2,4,1576324,0,1,0,49,2,6,1
140,6,3,7,1,4,5,2,6371452,1,2,1,65,3,4,1
141,2,5,7,6,3,1,4,2576314,1,1,1,63,5,4,1
142,4,1,3,2,7,5,6,4132756,0,2,1,20,4,6,1
143,1,5,3,4,6,2,7,1534627,1,2,1,47,7,5,1
144,3,5,2,4,6,7,1,3524671,0,2,1,72,3,4,1
145,1,3,7,6,5,2,4,1376524,1,2,0,72,4,6,1
146,2,3,4,5,6,1,7,2345617,1,1,0,56,5,4,1
147,7,2,1,3,5,6,4,7213564,1,2,0,46,2,4,1
148,2,3,1,5,4,7,6,2315476,1,2,1,65,4,4,1
149,3,1,2,6,5,7,4,3126574,1,2,1,59,6,4,1
150,2,3,7,4,6,1,5,2374615,0,1,1,35,4,4,1
151,2,4,7,6,5,1,3,2476513,0,1,0,34,5,3,1
152,2,5,7,6,3,1,4,2576314,1,2,0,70,3,6,1
153,1,3,7,4,5,2,6,1374526,0,2,1,55,3,3,1
154,2,3,7,6,4,1,5,2376415,1,1,0,49,7,7,1
155,1,4,5,3,6,2,7,1453627,1,1,1,77,3,6,1
156,4,2,7,6,5,1,3,4276513,1,1,1,19,4,7,1
157,4,1,2,3,7,6,5,4123765,1,1,0,44,6,6,1
158,2,5,7,6,3,1,4,2576314,1,2,1,70,3,4,1
159,2,4,7,1,3,5,6,2471356,0,2,0,33,4,2,1
160,7,3,2,5,6,4,1,7325641,0,2,1,32,4,7,1
161,7,5,2,4,3,1,6,7524316,0,2,1,25,6,5,1
162,1,2,6,7,4,3,5,1267435,1,2,0,67,7,6,1
163,1,3,7,6,5,2,4,1376524,1,1,0,40,4,5,1
164,5,2,1,4,3,7,6,5214376,0,2,0,22,3,7,1
165,2,6,7,5,3,1,4,2675314,0,2,0,51,3,6,1
166,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,38,6,6,1
167,4,5,1,7,3,6,2,4517362,0,1,1,34,7,3,1
168,4,1,3,6,7,2,5,4136725,0,2,1,63,4,4,1
169,1,3,7,6,4,2,5,1376425,1,1,0,52,4,6,1
170,NA,NA,1,NA,NA,NA,NA,--1----,0,1,0,29,3,5,1
171,NA,NA,NA,NA,NA,NA,NA,-------,0,1,1,28,2,4,1
172,NA,NA,NA,NA,NA,1,NA,-----1-,1,2,1,42,7,7,1
173,1,4,3,2,6,7,5,1432675,1,2,1,18,2,4,1
174,3,4,5,7,1,2,6,3457126,0,2,0,54,5,4,1
175,4,1,3,2,6,7,5,4132675,1,2,1,53,4,4,1
176,2,3,7,6,4,1,5,2376415,0,2,1,20,1,3,1
177,2,1,4,7,5,3,6,2147536,1,1,1,36,4,5,1
178,7,2,1,6,4,3,5,7216435,0,1,0,27,3,5,1
179,3,2,7,6,4,1,5,3276415,1,1,1,41,3,4,1
180,2,3,5,7,4,1,6,2357416,0,2,1,42,6,7,1
181,1,5,7,6,3,2,4,1576324,0,1,1,50,3,6,1
182,2,5,7,6,4,1,3,2576413,1,1,1,61,6,6,1
183,4,1,2,3,7,5,6,4123756,1,1,0,52,1,4,1
184,2,5,7,6,4,1,3,2576413,1,2,1,60,3,6,1
185,1,3,2,7,5,4,6,1327546,0,1,0,64,4,4,1
186,2,1,4,3,6,7,5,2143675,1,1,0,18,2,5,1
187,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,34,4,4,1
188,5,7,3,4,1,6,2,5734162,1,2,0,25,5,4,1
189,1,5,7,6,4,2,3,1576423,1,1,1,29,3,4,1
190,5,1,4,2,7,3,6,5142736,1,2,1,27,6,4,1
191,NA,NA,2,1,NA,NA,NA,--21---,0,1,0,44,3,4,1
192,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,66,9,4,1
193,2,7,1,4,5,6,3,2714563,0,2,0,32,3,4,1
194,2,3,7,6,4,1,5,2376415,0,1,1,61,3,6,1
195,1,4,7,2,6,5,3,1472653,0,2,0,60,4,5,1
196,2,6,7,5,4,1,3,2675413,1,1,1,43,5,5,1
197,2,6,7,3,5,1,4,2673514,1,2,1,45,3,4,1
198,NA,NA,NA,NA,NA,NA,NA,-------,0,2,0,25,6,5,1
199,3,4,1,2,6,7,5,3412675,0,2,0,44,3,5,1
200,2,3,7,4,6,1,5,2374615,1,2,1,28,4,4,1
201,4,1,3,6,5,2,7,4136527,1,1,1,23,6,3,1
202,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,51,4,5,1
203,3,5,1,4,6,2,7,3514627,0,1,0,30,4,2,1
204,6,2,7,3,5,1,4,6273514,0,2,0,42,3,4,1
