unit,begich,bye,palin,peltola,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
26,1,3,2,4,1324,0,69,Male,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
27,3,2,4,1,3241,0,25,Female,White,Independent,Some college but no degree,Likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
28,4,3,2,1,4321,0,23,Female,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
29,NA,NA,2,1,--21,0,33,Female,American Indian and Alaska Native,Other Party,Less than high school diploma,Likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
30,3,2,4,1,3241,0,59,Male,White,Independent,Associate degree,Very unlikely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
31,2,3,1,4,2314,0,76,Male,White,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
32,1,NA,2,NA,1-2-,0,22,Female,White,Republican,High school diploma or equivalent,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
33,2,4,3,1,2431,0,58,Female,White,Democrat,High school diploma or equivalent,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
34,1,NA,NA,NA,1---,0,22,Male,White,Other Party,High school diploma or equivalent,Likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
35,2,NA,1,NA,2-1-,0,44,Female,White,Republican,Some college but no degree,Very unlikely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
36,NA,NA,1,NA,--1-,0,70,Male,White,Republican,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
37,3,2,1,4,3214,0,26,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
38,2,3,4,1,2341,0,50,Male,White,Independent,Master's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
39,2,1,4,3,2143,0,34,Female,White,Independent,Associate degree,Likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
40,2,3,4,1,2341,0,47,Male,Latino or Hispanic,Independent,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
41,4,2,3,1,4231,0,45,Female,White,Democrat,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
42,2,3,1,4,2314,0,44,Male,White,Republican,Associate degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
43,NA,NA,2,1,--21,0,18,Male,Latino or Hispanic,Republican,Less than high school diploma,Unlikely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
44,3,4,1,2,3412,0,31,Female,White,Other Party,Less than high school diploma,Unlikely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
45,3,2,1,4,3214,0,23,Male,Other,Other Party,High school diploma or equivalent,Likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
46,1,NA,2,NA,1-2-,0,81,Male,White,Republican,Some college but no degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
47,4,3,2,1,4321,0,66,Male,White,Democrat,Master's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
48,2,3,1,4,2314,0,39,Male,White,Democrat,Doctorate degree,I already voted using in-person Early Voting,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
49,3,4,2,1,3421,0,31,Male,White,Democrat,Master's degree,Likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
50,4,3,1,2,4312,0,24,Male,White,Democrat,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
51,1,NA,2,3,1-23,0,52,Female,American Indian and Alaska Native,Republican,High school diploma or equivalent,Other,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
52,1,2,3,4,1234,0,31,Female,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
53,3,4,2,1,3421,0,32,Male,White,Democrat,Master's degree,Likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
54,NA,1,NA,NA,-1--,0,30,Male,Latino or Hispanic,Independent,Doctorate degree,I already voted using in-person Early Voting,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
55,4,3,2,1,4321,0,25,Male,White,Democrat,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
56,2,3,4,1,2341,0,70,Female,Other,Independent,Master's degree,I already voted using in-person Early Voting,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
57,3,4,1,2,3412,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
58,2,4,3,1,2431,0,30,Female,Latino or Hispanic,Independent,Master's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
59,2,3,1,4,2314,0,23,Male,Black or African American,Republican,Master's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
60,NA,1,NA,NA,-1--,0,41,Male,White,Independent,Bachelor's degree,Unlikely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
61,1,4,2,3,1423,0,28,Male,Latino or Hispanic,Independent,Master's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
62,1,3,2,4,1324,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
63,4,2,1,3,4213,0,37,Male,White,Democrat,Doctorate degree,Likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
64,2,3,1,4,2314,0,62,Female,White,Independent,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
65,2,1,3,4,2134,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
66,2,4,3,1,2431,0,23,Male,Black or African American,Republican,Professional school degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
67,1,3,4,2,1342,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
68,3,4,1,2,3412,0,23,Male,Black or African American,Republican,Master's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
69,3,2,1,4,3214,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
70,1,2,3,NA,123-,0,67,Male,White,Independent,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
71,4,2,3,1,4231,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
72,4,1,3,2,4132,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
73,2,1,3,4,2134,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
74,2,3,4,1,2341,0,34,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
75,4,3,2,1,4321,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
76,1,NA,NA,2,1--2,0,36,Female,White,Republican,Master's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
77,1,3,4,2,1342,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
78,2,4,1,3,2413,0,77,Male,White,Republican,High school diploma or equivalent,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
79,4,2,1,3,4213,0,42,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
80,2,4,1,3,2413,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
81,3,1,4,2,3142,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
82,2,4,3,1,2431,0,28,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,Likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
83,2,4,1,3,2413,0,19,Male,Asian and Pacific Islanders,Republican,High school diploma or equivalent,Likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
84,4,1,3,2,4132,0,39,Female,White,Independent,High school diploma or equivalent,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
85,3,1,4,2,3142,0,38,Male,Asian and Pacific Islanders,Republican,High school diploma or equivalent,Likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
86,1,NA,2,NA,1-2-,0,52,Female,White,Republican,Some college but no degree,Likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
87,3,1,4,2,3142,0,29,Female,White,Independent,Master's degree,Very unlikely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
88,1,3,4,2,1342,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
89,1,NA,2,NA,1-2-,0,64,Male,White,Independent,Professional school degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
90,2,1,4,3,2143,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
91,1,NA,NA,NA,1---,0,78,Male,White,Republican,Professional school degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
92,3,2,4,1,3241,0,65,Female,American Indian and Alaska Native,Other Party,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
93,4,2,3,1,4231,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
94,2,4,1,3,2413,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
95,1,2,4,3,1243,0,28,Female,White,Independent,Bachelor's degree,I already voted using in-person Early Voting,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
96,1,4,3,2,1432,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
97,1,3,2,4,1324,0,34,Male,White,Republican,Some college but no degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
98,1,2,3,4,1234,0,39,Male,White,Republican,High school diploma or equivalent,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
99,4,1,3,2,4132,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
100,1,NA,2,NA,1-2-,0,63,Female,White,Republican,Some college but no degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
101,NA,NA,NA,1,---1,0,69,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
102,1,3,4,2,1342,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
103,1,4,3,2,1432,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
104,NA,NA,1,NA,--1-,0,76,Male,White,Republican,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
105,3,2,4,1,3241,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
106,1,4,3,2,1432,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
107,3,4,1,2,3412,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
108,2,4,1,3,2413,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
109,1,NA,2,NA,1-2-,0,73,Female,White,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
110,1,3,4,2,1342,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
111,3,2,4,1,3241,0,38,Male,Other,Independent,Professional school degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
112,2,4,1,3,2413,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
113,4,3,2,1,4321,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
114,3,4,1,2,3412,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
115,3,1,2,4,3124,0,31,Female,Asian and Pacific Islanders,Republican,Bachelor's degree,Likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
116,3,1,2,4,3124,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
117,2,1,3,4,2134,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
118,3,2,1,4,3214,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
119,3,2,1,4,3214,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
120,4,3,1,2,4312,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
121,2,1,3,4,2134,0,22,Male,Other,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
