unit,begich,bye,palin,peltola,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
13,3,2,1,4,3214,0,33,Female,White,Other Party,Some college but no degree,Likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
14,3,2,4,1,3241,0,36,Female,White,Democrat,High school diploma or equivalent,Likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
15,2,3,1,4,2314,0,49,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
16,1,3,2,4,1324,0,57,Female,White,Independent,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
17,3,1,4,2,3142,0,24,Other,White,Independent,High school diploma or equivalent,Unlikely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
18,3,4,2,1,3421,0,30,Male,Black or African American,Democrat,High school diploma or equivalent,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
19,2,3,1,4,2314,0,54,Male,White,Republican,Associate degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
20,2,4,1,3,2413,0,51,Female,White,Republican,Master's degree,Very likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
21,3,2,1,4,3214,0,70,Male,White,Independent,Associate degree,Very unlikely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
22,2,3,4,1,2341,0,29,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Unlikely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
23,4,2,3,1,4231,0,18,Male,White,Independent,Bachelor's degree,Likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
24,4,3,2,1,4321,0,37,Male,White,Democrat,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
25,3,1,4,2,3142,0,80,Female,White,Independent,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
26,1,3,2,4,1324,0,69,Male,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
27,3,2,4,1,3241,0,25,Female,White,Independent,Some college but no degree,Likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
28,3,4,2,1,3421,0,23,Female,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
29,3,2,4,1,3241,0,33,Female,American Indian and Alaska Native,Other Party,Less than high school diploma,Likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
30,3,2,4,1,3241,0,59,Male,White,Independent,Associate degree,Very unlikely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
31,2,3,1,4,2314,0,76,Male,White,Republican,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
32,1,4,2,3,1423,0,22,Female,White,Republican,High school diploma or equivalent,Very likely,Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
33,3,4,2,1,3421,0,58,Female,White,Democrat,High school diploma or equivalent,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
34,3,1,4,2,3142,0,22,Male,White,Other Party,High school diploma or equivalent,Likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
35,3,2,4,1,3241,0,44,Female,White,Republican,Some college but no degree,Very unlikely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
36,2,3,1,4,2314,0,70,Male,White,Republican,Associate degree,Very likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
37,3,2,4,1,3241,0,26,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
38,2,3,4,1,2341,0,50,Male,White,Independent,Master's degree,Very likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
39,2,1,4,3,2143,0,34,Female,White,Independent,Associate degree,Likely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
40,3,2,4,1,3241,0,47,Male,Latino or Hispanic,Independent,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
41,4,2,3,1,4231,0,45,Female,White,Democrat,Associate degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
42,2,3,1,4,2314,0,44,Male,White,Republican,Associate degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
43,2,1,4,3,2143,0,18,Male,Latino or Hispanic,Republican,Less than high school diploma,Unlikely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
44,3,4,1,2,3412,0,31,Female,White,Other Party,Less than high school diploma,Unlikely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
45,1,4,3,2,1432,0,23,Male,Other,Other Party,High school diploma or equivalent,Likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
46,1,3,2,4,1324,0,81,Male,White,Republican,Some college but no degree,Very likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
47,2,3,4,1,2341,0,66,Male,White,Democrat,Master's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
48,1,3,2,4,1324,0,39,Male,White,Democrat,Doctorate degree,I already voted using in-person Early Voting,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
49,2,4,3,1,2431,0,31,Male,White,Democrat,Master's degree,Likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
50,4,2,1,3,4213,0,24,Male,White,Democrat,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
51,1,4,2,3,1423,0,52,Female,American Indian and Alaska Native,Republican,High school diploma or equivalent,Other,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
52,2,3,1,4,2314,0,31,Female,White,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
53,2,4,3,1,2431,0,32,Male,White,Democrat,Master's degree,Likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
54,4,3,1,2,4312,0,30,Male,Latino or Hispanic,Independent,Doctorate degree,I already voted using in-person Early Voting,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
55,3,2,4,1,3241,0,25,Male,White,Democrat,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
56,2,3,4,1,2341,0,70,Female,Other,Independent,Master's degree,I already voted using in-person Early Voting,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
57,4,1,3,2,4132,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
58,3,4,1,2,3412,0,30,Female,Latino or Hispanic,Independent,Master's degree,Very likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
59,3,1,4,2,3142,0,23,Male,Black or African American,Republican,Master's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
60,4,1,2,3,4123,0,41,Male,White,Independent,Bachelor's degree,Unlikely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
61,3,4,2,1,3421,0,28,Male,Latino or Hispanic,Independent,Master's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
62,3,4,2,1,3421,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
63,3,4,1,2,3412,0,37,Male,White,Democrat,Doctorate degree,Likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
64,2,3,1,4,2314,0,62,Female,White,Independent,Associate degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
65,2,3,4,1,2341,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
66,3,1,4,2,3142,0,23,Male,Black or African American,Republican,Professional school degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
67,3,2,1,4,3214,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
68,4,3,1,2,4312,0,23,Male,Black or African American,Republican,Master's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
69,3,1,4,2,3142,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
70,1,2,3,4,1234,0,67,Male,White,Independent,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
71,4,1,2,3,4123,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
72,4,1,2,3,4123,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
73,1,4,3,2,1432,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
74,3,2,4,1,3241,0,34,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
75,2,3,1,4,2314,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
76,1,4,3,2,1432,0,36,Female,White,Republican,Master's degree,Very likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
77,2,1,3,4,2134,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
78,2,3,1,4,2314,0,77,Male,White,Republican,High school diploma or equivalent,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
79,4,3,1,2,4312,0,42,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
80,4,3,1,2,4312,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
81,3,2,1,4,3214,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
82,4,2,3,1,4231,0,28,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,Likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
83,2,4,1,3,2413,0,19,Male,Asian and Pacific Islanders,Republican,High school diploma or equivalent,Likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
84,1,4,2,3,1423,0,39,Female,White,Independent,High school diploma or equivalent,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
85,2,3,4,1,2341,0,38,Male,Asian and Pacific Islanders,Republican,High school diploma or equivalent,Likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
86,1,3,2,4,1324,0,52,Female,White,Republican,Some college but no degree,Likely,Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
87,3,1,4,2,3142,0,29,Female,White,Independent,Master's degree,Very unlikely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
88,1,3,4,2,1342,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
89,1,3,2,4,1324,0,64,Male,White,Independent,Professional school degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
90,3,4,2,1,3421,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
91,1,3,2,4,1324,0,78,Male,White,Republican,Professional school degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
92,3,2,4,1,3241,0,65,Female,American Indian and Alaska Native,Other Party,Associate degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
93,2,4,3,1,2431,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
94,2,4,1,3,2413,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
95,3,2,1,4,3214,0,28,Female,White,Independent,Bachelor's degree,I already voted using in-person Early Voting,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
96,3,1,4,2,3142,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
97,1,3,2,4,1324,0,34,Male,White,Republican,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
98,1,2,3,4,1234,0,39,Male,White,Republican,High school diploma or equivalent,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
99,3,1,4,2,3142,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
100,1,3,2,4,1324,0,63,Female,White,Republican,Some college but no degree,Very likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
101,2,3,4,1,2341,0,69,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
102,3,4,2,1,3421,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
103,3,2,1,4,3214,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
104,2,3,1,4,2314,0,76,Male,White,Republican,Associate degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
105,2,1,3,4,2134,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
106,1,2,3,4,1234,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
107,3,2,4,1,3241,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
108,4,2,3,1,4231,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
109,1,3,2,4,1324,0,73,Female,White,Republican,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
110,4,3,2,1,4321,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
111,3,2,4,1,3241,0,38,Male,Other,Independent,Professional school degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
112,4,2,1,3,4213,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
113,2,4,1,3,2413,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
114,2,4,1,3,2413,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
115,3,2,1,4,3214,0,31,Female,Asian and Pacific Islanders,Republican,Bachelor's degree,Likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
116,1,4,2,3,1423,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)
117,4,1,2,3,4123,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
118,4,1,2,3,4123,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)
119,4,2,3,1,4231,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
120,3,4,2,1,3421,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
121,2,1,4,3,2143,0,22,Male,Other,Republican,Bachelor's degree,Very likely,Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)
122,1,3,4,2,1342,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)
123,2,1,3,4,2134,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)
124,4,3,2,1,4321,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
125,3,2,4,1,3241,0,39,Female,White,Democrat,Bachelor's degree,Likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
126,4,2,1,3,4213,0,81,Male,White,Republican,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
127,3,2,4,1,3241,0,35,Female,White,Democrat,Some college but no degree,Unlikely,Mary S. Peltola (Registered Democrat)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)
